"EcossDateReceived","AA","BR","DG","FF","FV","GC","GR","HG","LN","LO","SH","TY","Scotland"
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-03-04,1,0,0,0,0,0,1,0,0,0,0,1,3
2020-03-05,1,0,0,0,1,1,2,0,0,0,0,1,6
2020-03-06,1,0,0,1,2,1,3,0,0,0,0,1,9
2020-03-07,1,0,0,1,2,2,4,0,2,0,0,1,13
2020-03-08,1,0,0,1,2,3,4,0,2,1,0,1,15
2020-03-09,1,0,0,1,2,3,4,0,3,3,2,1,20
2020-03-10,1,0,0,2,2,3,5,0,3,7,2,1,26
2020-03-11,4,1,0,3,4,10,6,0,4,11,4,4,51
2020-03-12,4,1,0,3,7,21,6,0,7,17,9,4,79
2020-03-13,7,3,0,5,7,31,8,1,9,21,11,10,113
2020-03-14,7,4,0,7,10,38,12,2,13,25,11,10,139
2020-03-15,7,5,0,8,10,39,13,2,16,28,13,10,151
2020-03-16,7,5,0,9,11,47,13,3,18,30,17,14,174
2020-03-17,11,5,2,10,13,54,15,4,24,31,23,17,209
2020-03-18,12,5,5,11,16,67,15,6,32,35,24,23,251
2020-03-19,19,6,10,13,20,81,18,6,40,36,24,27,300
2020-03-20,23,8,13,16,26,97,20,6,46,46,24,32,357
2020-03-21,25,9,16,16,28,131,20,6,49,48,24,38,410
2020-03-22,33,10,17,19,36,153,22,7,58,61,24,46,486
2020-03-23,38,10,21,25,40,175,23,7,70,72,24,48,553
2020-03-24,48,15,28,29,44,211,24,19,82,88,24,57,669
2020-03-25,68,23,36,40,62,240,31,23,109,110,24,80,846
2020-03-26,75,28,43,40,81,290,32,33,140,139,24,107,1032
2020-03-27,75,28,47,41,81,299,45,33,140,139,24,107,1059
