Council area,2018,2028,Population change,Births,Deaths,Natural change,Net migration
Aberdeen City,227560,230170,2610,22280,22142,138,2253
Aberdeenshire,261470,267896,6426,25084,25993,-909,7256
Angus,116040,115138,-902,9795,14275,-4480,3732
Argyll and Bute,86260,81197,-5063,5974,11303,-5329,411
City of Edinburgh,518500,552585,34085,50396,44261,6135,27893
Clackmannanshire,51400,51194,-206,4973,5855,-882,727
Dumfries and Galloway,148790,144575,-4215,11545,20115,-8570,4326
Dundee City,148750,148350,-400,14630,16928,-2298,1877
East Ayrshire,121840,119716,-2124,11500,15114,-3614,1368
East Dunbartonshire,108330,112399,4069,9366,11604,-2238,6568
East Lothian,105790,113403,7613,9992,11508,-1516,9130
East Renfrewshire,95170,101230,6060,8425,9381,-956,7325
Falkirk,160340,165462,5122,15034,17789,-2755,7713
Fife,371910,371430,-480,33593,42261,-8668,8374
Glasgow City,626410,644274,17864,66574,65130,1444,15665
Highland,235540,236664,1124,20103,26303,-6200,7484
Inverclyde,78150,73418,-4732,6385,10361,-3976,-615
Midlothian,91340,103945,12605,10879,9642,1237,11353
Moray,95520,95409,-111,8201,10661,-2460,2489
Na h-Eileanan Siar,26830,25181,-1649,2034,3505,-1471,-46
North Ayrshire,135280,131057,-4223,11527,17528,-6001,1692
North Lanarkshire,340180,341174,994,32959,38912,-5953,6453
Orkney Islands,22190,22311,121,1666,2436,-770,1037
Perth and Kinross,151290,152779,1489,11683,16991,-5308,7022
Renfrewshire,177790,182256,4466,16692,21232,-4540,8829
Scotland,5438100,5537116,99016,507279,598155,-90876,189892
Scottish Borders,115270,116435,1165,9573,13952,-4379,5590
Shetland Islands,22990,22824,-166,2124,2413,-289,243
South Ayrshire,112550,110612,-1938,8806,15368,-6562,4792
South Lanarkshire,319020,325243,6223,30291,37211,-6920,12955
Stirling,94330,98836,4506,7916,9522,-1606,6347
West Dunbartonshire,89130,87141,-1989,8453,11081,-2628,646
West Lothian,182140,192812,10672,18826,17378,1448,9003
,,,,,,,
© Crown Copyright 2020,,,,,,,
