Ayrshire,Fife,Forth Valley,"Grampian, Shetland and Orkney",Greater Glasgow and Clyde,Lanarkshire,Lothian,Tayside,Borders,Highland and Western Isles,Dumfries and Galloway,confirmed_cases,date,new_cases,doubling_time_week
0,0,0,0,0,0,0,1,0,0,0,1,2020-03-01,1,0
1,0,0,1,0,0,0,0,0,0,0,2,2020-03-04,1,0
1,0,1,2,1,0,0,0,0,0,0,5,2020-03-05,3,0
1,2,2,3,1,0,1,1,0,0,0,11,2020-03-06,6,0
1,2,2,4,2,2,2,1,0,0,0,16,2020-03-07,5,0
1,2,2,4,3,2,3,1,0,0,0,18,2020-03-08,2,0
1,2,2,6,3,3,5,1,0,0,0,23,2020-03-09,5,0
1,2,2,8,3,3,7,1,0,0,0,27,2020-03-10,4,1.4721694250000672
3,2,2,8,5,4,8,2,2,0,0,36,2020-03-11,9,1.67868726597692
4,3,6,13,10,7,11,4,2,0,0,60,2020-03-12,24,1.9526006195579089
4,4,6,17,21,7,20,3,3,0,0,85,2020-03-13,25,2.372914080025797
6,6,6,20,31,10,25,11,5,1,0,121,2020-03-14,36,2.398193896380034
6,7,10,23,39,16,28,15,7,2,0,153,2020-03-15,32,2.267233764395748
7,7,10,27,44,20,29,17,7,2,1,171,2020-03-16,18,2.418554688176299
6,7,12,37,49,21,30,20,7,5,1,195,2020-03-17,24,2.454036929878902
9,8,15,40,57,25,33,24,7,5,4,227,2020-03-18,32,2.634923630423299
12,9,17,42,71,33,35,27,8,6,6,266,2020-03-19,39,3.2582510648288925
16,12,23,43,91,41,40,31,9,6,10,322,2020-03-20,56,3.642938066606699
21,13,27,44,110,49,44,34,10,8,13,373,2020-03-21,51,4.309897428968692
25,16,30,47,130,49,46,38,11,8,16,416,2020-03-22,43,4.850830464999529
34,19,40,48,152,58,59,47,12,12,18,499,2020-03-23,83,4.530616803514734
41,25,43,48,183,75,70,48,12,13,26,584,2020-03-24,85,4.423396812683612
57,29,59,53,221,87,88,57,15,22,31,719,2020-03-25,135,4.208502505414748
74,40,75,55,258,114,111,76,23,29,39,894,2020-03-26,175,4.0026335368934705
75,41,81,69,299,140,139,107,28,33,47,1059,2020-03-27,165,4.075525315882589
90,51,95,79,376,165,151,107,35,36,60,1245,2020-03-28,186,4.02553753464583
108,58,94,89,401,184,188,107,50,42,63,1384,2020-03-29,139,4.0364700617442475
154,70,103,93,449,197,208,108,63,44,74,1563,2020-03-30,179,4.2496201173117925
177,76,131,115,547,244,269,214,77,51,92,1993,2020-03-31,430,3.952789160289496
199,96,146,140,632,284,311,254,87,61,100,2310,2020-04-01,317,4.157191299650499
221,119,172,160,682,320,356,307,93,68,104,2602,2020-04-02,292,4.541696658537559
240,147,189,211,779,377,408,353,100,75,122,3001,2020-04-03,399,4.658155503534889
254,173,208,221,851,427,476,410,110,88,127,3345,2020-04-04,344,4.9093162720218535
267,200,226,239,931,478,534,457,130,103,141,3706,2020-04-05,361,4.9260427225046435
288,227,231,254,984,512,577,499,139,106,144,3961,2020-04-06,255,5.217856998130456
296,239,243,256,1094,547,621,516,149,116,152,4229,2020-04-07,268,6.449384743691334
312,255,259,270,1166,575,700,586,160,126,155,4564,2020-04-08,335,7.1253640833085905
362,288,280,283,1251,607,747,667,167,142,163,4957,2020-04-09,393,7.5281259111826895
364,333,302,298,1314,662,799,712,177,150,164,5275,2020-04-10,318,8.602385485737084
376,356,324,309,1387,707,856,753,189,154,179,5590,2020-04-11,315,9.448707440705283
390,379,337,339,1449,758,915,803,199,157,186,5912,2020-04-12,322,10.389095551232096
390,383,352,363,1486,784,932,812,204,169,192,6067,2020-04-13,155,11.379919067218582
416,397,367,385,1575,822,989,826,208,174,199,6358,2020-04-14,291,11.899571908312165
457,424,380,407,1661,873,1040,898,215,186,207,6748,2020-04-15,390,12.407801570462972
503,446,400,439,1742,911,1107,937,220,190,207,7102,2020-04-16,354,13.493765165451801
536,488,431,444,1794,934,1172,979,229,193,209,7409,2020-04-17,307,14.282573871680334
560,514,451,482,1905,995,1239,1022,231,199,222,7820,2020-04-18,411,14.453244364139774
586,532,509,520,1949,1022,1344,1056,237,203,229,8187,2020-04-19,367,14.903490556844465
604,542,542,547,2020,1051,1399,1071,239,204,231,8450,2020-04-20,263,14.645330985105051
623,561,562,577,2085,1076,1426,1084,240,207,231,8672,2020-04-21,222,15.632266902969365
640,593,569,610,2174,1118,1515,1124,243,217,235,9038,2020-04-22,366,16.60563765154687
653,619,604,662,2250,1155,1604,1159,248,220,235,9409,2020-04-23,371,17.249195007558924
678,637,606,698,2311,1176,1684,1199,253,220,235,9697,2020-04-24,288,18.029171961863916
692,653,655,761,2428,1187,1730,1224,258,226,237,10051,2020-04-25,354,19.33175463316381
705,672,662,809,2479,1231,1785,1251,259,231,240,10324,2020-04-26,273,20.920799328797635
721,681,680,832,2531,1265,1804,1261,269,234,243,10521,2020-04-27,197,22.134486044145966
738,692,689,843,2604,1297,1832,1273,272,238,243,10721,2020-04-28,200,22.875606367747064
745,712,717,874,2672,1329,1907,1313,279,242,244,11034,2020-04-29,313,24.315651324313823
762,737,724,895,2759,1374,1980,1349,279,248,246,11353,2020-04-30,319,25.834045574613164
778,750,747,927,2864,1400,2014,1379,281,265,249,11654,2020-05-01,301,26.393697841132656
793,768,757,950,2939,1436,2065,1392,283,294,250,11927,2020-05-02,273,28.352459475588322
799,776,788,959,2985,1454,2089,1410,284,303,250,12097,2020-05-03,170,30.614842658323823
818,778,794,992,3029,1492,2113,1411,284,305,250,12266,2020-05-04,169,31.617979693025372
825,784,802,1007,3070,1520,2149,1429,284,313,254,12437,2020-05-05,171,32.67988389457439
846,792,809,1018,3203,1541,2200,1445,285,316,254,12709,2020-05-06,272,34.33145808616474
853,801,818,1034,3277,1576,2241,1465,286,319,254,12924,2020-05-07,215,37.43734335776442
885,804,828,1062,3333,1628,2274,1471,286,323,255,13149,2020-05-08,225,40.20034268081912
895,810,828,1096,3367,1635,2324,1486,286,323,255,13305,2020-05-09,156,44.37758138079509
904,811,828,1111,3449,1660,2359,1497,286,326,255,13486,2020-05-10,181,44.63910136216169
912,813,839,1139,3479,1693,2380,1497,292,328,255,13627,2020-05-11,141,46.11235617947707
925,813,856,1163,3510,1715,2397,1505,294,330,255,13763,2020-05-12,136,47.893883533325685
946,816,859,1184,3579,1721,2428,1515,297,330,254,13929,2020-05-13,166,52.93359114614194
952,823,863,1203,3628,1762,2459,1540,298,334,255,14117,2020-05-14,188,54.9533028074158
964,824,867,1213,3663,1781,2497,1555,304,337,255,14260,2020-05-15,143,59.81837581444215
966,824,871,1242,3707,1812,2539,1582,310,337,257,14447,2020-05-16,187,58.92184977352255
974,824,873,1250,3731,1828,2561,1589,313,337,257,14537,2020-05-17,90,64.65493257224497
976,824,880,1261,3742,1840,2568,1593,316,337,257,14594,2020-05-18,57,70.7732882148983
981,825,883,1267,3759,1853,2575,1599,317,339,257,14655,2020-05-19,61,77.26440627650946
987,826,894,1277,3780,1867,2584,1617,322,340,257,14751,2020-05-20,96,84.62172503357509
995,826,896,1279,3806,1892,2611,1632,322,340,257,14856,2020-05-21,105,95.09295111065748
